"","id","time","concentration","volume","area","temperature_celsius","air_pressure","gas_pressure","gas_temp","ph","orp","wt"
"6908","e1",0,1.9956429,0.012602,0.0712,9.739071,1013.640991,39.6699,55.001,NA,NA,NA
"6909","e1",1,1.9956752,0.012602,0.0712,9.739071,1013.62854,39.6695,55.001,NA,NA,NA
"6910","e1",2,1.995734,0.012602,0.0712,9.735867,1013.596008,39.6695,55.001,NA,NA,NA
"6911","e1",3,1.9957877,0.012602,0.0712,9.729992,1013.608032,39.6687,55.001,NA,NA,NA
"6912","e1",4,1.9957915,0.012602,0.0712,9.724117,1013.680481,39.6699,55.001,NA,NA,NA
"6913","e1",5,1.995835,0.012602,0.0712,9.720912,1013.671509,39.6703,55.001,NA,NA,NA
"6914","e1",6,1.995989,0.012602,0.0712,9.717708,1013.607544,39.6699,55.001,NA,NA,NA
"6915","e1",7,1.9963961,0.012602,0.0712,9.715037,1013.607544,39.6699,55.001,NA,NA,NA
"6916","e1",8,1.996765,0.012602,0.0712,9.715037,1013.609009,39.6695,55.001,NA,NA,NA
"6917","e1",9,1.9973607,0.012602,0.0712,9.707026,1013.518555,39.6703,55.001,NA,NA,NA
"6918","e1",10,1.9978107,0.012602,0.0712,9.699016,1013.448059,39.6707,55.001,NA,NA,NA
"6919","e1",11,1.9993165,0.012602,0.0712,9.696345,1013.414551,39.6699,55.001,NA,NA,NA
"6920","e1",12,2.0011208,0.012602,0.0712,9.696345,1013.432983,39.6703,55.001,NA,NA,NA
"6921","e1",13,2.0032595,0.012602,0.0712,9.696345,1013.464539,39.6703,55.001,NA,NA,NA
"6922","e1",14,2.0053047,0.012602,0.0712,9.688334,1013.415039,39.6699,55.001,NA,NA,NA
"6923","e1",15,2.0075383,0.012602,0.0712,9.691005,1013.409973,39.6699,55.001,7.0959473,199.95374,5.2888637
"6924","e1",16,2.0095228,0.012602,0.0712,9.693675,1013.364441,39.6703,55.001,7.0959473,199.95374,5.2888637
"6925","e1",17,2.0118466,0.012602,0.0712,9.688334,1013.353516,39.6699,55.001,7.0959473,199.95374,5.2888637
"6926","e1",18,2.0141693,0.012602,0.0712,9.682994,1013.353516,39.6703,55.001,7.0959473,199.95374,5.2888637
"6927","e1",19,2.0165428,0.012602,0.0712,9.685664,1013.291504,39.6699,55.001,7.0959473,199.95374,5.2888637
"6928","e1",20,2.0188278,0.012602,0.0712,9.676585,1013.389465,39.6699,55.001,7.0959473,199.95374,5.2888637
"6929","e1",21,2.0213185,0.012602,0.0712,9.664836,1013.328491,39.6703,55.001,7.0959473,199.95374,5.2888637
"6930","e1",22,2.0233455,0.012602,0.0712,9.655756,1013.307007,39.6695,55.001,7.0959473,199.95374,5.2888637
"6931","e1",23,2.0255156,0.012602,0.0712,9.655756,1013.37854,39.6703,55.001,7.0959473,199.95374,5.2888637
"6932","e1",24,2.0276104,0.012602,0.0712,9.649347,1013.296509,39.6699,55.001,7.0959473,199.95374,5.2888637
"6933","e1",25,2.0293226,0.012602,0.0712,9.637598,1013.250977,39.6707,55.001,7.0959473,199.95374,5.2888637
"6934","e1",26,2.0314464,0.012602,0.0712,9.629053,1013.203003,39.6707,55.001,7.0959473,199.95374,5.2888637
"6935","e1",27,2.033174,0.012602,0.0712,9.617838,1013.242004,39.6707,55.001,7.0959473,199.95374,5.2888637
"6936","e1",28,2.0350377,0.012602,0.0712,9.603952,1013.06543,39.6691,55.001,7.0959473,199.95374,5.2888637
"6937","e1",29,2.0367052,0.012602,0.0712,9.587397,1013.06543,39.6703,55.001,7.0959473,199.95374,5.2888637
"6938","e1",30,2.0383727,0.012602,0.0712,9.57351,1013.132996,39.6695,55.001,7.0959473,199.95374,5.2888637
